field_id,source_model,field_name,field_display_name_ja,target_model,relation_table,relation_column1,relation_column2,field_state,field_class_initial
8999,sale.order.line,route_ids,ルート,stock.route,sale_order_line_stock_route_rel,sale_order_line_id,stock_route_id,base,SF
6718,sale.order.line,tax_ids,税金,account.tax,account_tax_sale_order_line_rel,sale_order_line_id,account_tax_id,base,SF
6980,sale.order.template,quotation_document_ids,ヘッダーとフッター,quotation.document,header_footer_quotation_template_rel,sale_order_template_id,quotation_document_id,base,SF
6922,sale.order.template.line,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
6986,sale.pdf.form.field,product_document_ids,プロダクトドキュメント,product.document,product_document_sale_pdf_form_field_rel,sale_pdf_form_field_id,product_document_id,base,SF
6987,sale.pdf.form.field,quotation_document_ids,見積ドキュメント,quotation.document,quotation_document_sale_pdf_form_field_rel,sale_pdf_form_field_id,quotation_document_id,base,SF
4291,sms.template.reset,template_ids,テンプレート,sms.template,sms_template_sms_template_reset_rel,sms_template_reset_id,sms_template_id,base,SF
6430,spreadsheet.dashboard,company_ids,会社,res.company,res_company_spreadsheet_dashboard_rel,spreadsheet_dashboard_id,res_company_id,base,SF
6432,spreadsheet.dashboard,favorite_user_ids,お気に入りユーザ,res.users,res_users_spreadsheet_dashboard_rel,spreadsheet_dashboard_id,res_users_id,base,SF
6431,spreadsheet.dashboard,group_ids,グループ,res.groups,res_groups_spreadsheet_dashboard_rel,spreadsheet_dashboard_id,res_groups_id,base,SF
6434,spreadsheet.dashboard,main_data_model_ids,メインデータモデル,ir.model,ir_model_spreadsheet_dashboard_rel,spreadsheet_dashboard_id,ir_model_id,base,SF
8008,stock.backorder.confirmation,pick_ids,ピッキング,stock.picking,stock_picking_backorder_rel,stock_backorder_confirmation_id,stock_picking_id,base,SF
7973,stock.inventory.adjustment.name,quant_ids,在庫数量,stock.quant,stock_inventory_adjustment_name_stock_quant_rel,stock_inventory_adjustment_name_id,stock_quant_id,base,SF
7958,stock.inventory.conflict,quant_ids,保管ロット,stock.quant,stock_conflict_quant_rel,stock_inventory_conflict_id,stock_quant_id,base,SF
7959,stock.inventory.conflict,quant_to_fix_ids,不整合,stock.quant,stock_inventory_conflict_stock_quant_rel,stock_inventory_conflict_id,stock_quant_id,base,SF
7966,stock.inventory.warning,quant_ids,在庫数量,stock.quant,stock_inventory_warning_stock_quant_rel,stock_inventory_warning_id,stock_quant_id,base,SF
7178,stock.location,child_internal_location_ids,子孫間の内部ロケーション,stock.location,,,,base,SF
7452,stock.lot,delivery_ids,転送,stock.picking,,,,base,SF
7433,stock.lot,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
7454,stock.lot,partner_ids,取引先,res.partner,,,,base,SF
9318,stock.lot,purchase_order_ids,購買オーダ,purchase.order,,,,base,SF
9014,stock.lot,sale_order_ids,販売オーダ,sale.order,,,,base,SF
7236,stock.move,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
8883,stock.move,analytic_account_line_ids,分析勘定明細,account.analytic.line,account_analytic_line_stock_move_rel,stock_move_id,account_analytic_line_id,base,SF
9321,stock.move,created_purchase_line_ids,作成された購買オーダ明細,purchase.order.line,stock_move_created_purchase_line_rel,move_id,created_purchase_line_id,base,SF
7291,stock.move,lot_ids,シリアルナンバー,stock.lot,,,,base,SF
7245,stock.move,move_dest_ids,移動先移動,stock.move,stock_move_move_rel,move_orig_id,move_dest_id,base,SF
7246,stock.move,move_orig_ids,元の移動,stock.move,stock_move_move_rel,move_dest_id,move_orig_id,base,SF
